user_id,username,email,role,department
USER0075,priscilaribeiro911,priscilaribeiro@hospital.com.br,admin,neonatology
USER0076,leonardonascimento268,leonardonascimento@hospital.com.br,doctor,icu
USER0077,diegobarbosa244,diegobarbosa@hospital.com.br,nurse,emergency
USER0078,felipemonteiro366,felipemonteiro@hospital.com.br,doctor,obstetrics
USER0079,rafaelalmeida509,rafaelalmeida@hospital.com.br,nurse,obstetrics
USER0080,luciaferreira531,luciaferreira@hospital.com.br,technician,neonatology
USER0081,renatacardoso46,renatacardoso@hospital.com.br,nurse,emergency
USER0082,marceloaraújo868,marceloaraújo@hospital.com.br,doctor,obstetrics
USER0083,luciaferreira767,luciaferreira@hospital.com.br,technician,emergency
USER0084,luciaferreira492,luciaferreira@hospital.com.br,nurse,obstetrics
USER0085,camilasousa122,camilasousa@hospital.com.br,doctor,obstetrics
USER0086,leonardonascimento988,leonardonascimento@hospital.com.br,admin,icu
USER0087,pedrocosta724,pedrocosta@hospital.com.br,technician,emergency
USER0088,priscilaribeiro33,priscilaribeiro@hospital.com.br,doctor,obstetrics
USER0089,tatianagomes659,tatianagomes@hospital.com.br,doctor,obstetrics
USER0090,brunomartins182,brunomartins@hospital.com.br,technician,emergency
USER0091,anasilva380,anasilva@hospital.com.br,doctor,icu
USER0092,tatianagomes189,tatianagomes@hospital.com.br,doctor,obstetrics
USER0093,anasilva921,anasilva@hospital.com.br,admin,icu
USER0094,tatianagomes558,tatianagomes@hospital.com.br,technician,icu
USER0095,camilasousa907,camilasousa@hospital.com.br,doctor,emergency
USER0096,rafaelalmeida848,rafaelalmeida@hospital.com.br,admin,obstetrics
USER0097,fernandalima514,fernandalima@hospital.com.br,admin,emergency
USER0098,gustavocarvalho364,gustavocarvalho@hospital.com.br,doctor,icu
USER0099,julianapereira797,julianapereira@hospital.com.br,technician,emergency
